Title: Health Insurance Coverage of the Total Population | KFF,,,,,,,
Timeframe: 2018,,,,,,,
Location,Employer,Non-Group,Medicaid,Medicare,Military,Uninsured,Total
United States,157299500,19611400,64924500,43837400,4561000,28264700,318498500
Alabama,2232000,257400,928300,754900,96600,483400,4752600
Alaska,341300,26000,151200,66900,38500,85400,709100
Arizona,3114300,381600,1568300,1092100,104500,743500,7004300
Arkansas,1223300,162400,796600,455900,41200,242000,2921300
California,18346700,2802100,10194300,4240200,388400,2774100,38745900
Colorado,2895000,398500,1027200,692300,117000,425200,5555200
Connecticut,1868600,188600,715200,483300,25600,185100,3466300
Delaware,468100,44100,200500,159600,11400,54000,937700
District of Columbia,353600,47200,184800,55600,5400,21200,667900
Florida,8339600,2011400,3759600,3624500,366900,2741500,20843500
Georgia,4959400,581700,1781600,1246800,236600,1406800,10212800
Hawaii,739700,62200,236500,199000,65200,52200,1354800
Idaho,809800,149300,284600,251000,33200,191700,1719600
Illinois,6744300,699900,2361500,1677300,77500,877700,12438400
Indiana,3493600,302900,1143300,944400,53600,549200,6487100
Iowa,1661500,167700,592700,457500,26300,151100,3056800
Kansas,1538700,173400,396400,396600,64100,245500,2814700
Kentucky,2026800,182000,1143400,662200,65000,240800,4320300
Louisiana,1918200,241100,1323500,607900,70000,358700,4519300
Maine,629600,83000,239600,223900,21400,102000,1299500
Maryland,3266600,314200,1086400,742800,110600,350200,5870800
Massachusetts,3680100,375200,1546400,842200,34700,181200,6659900
Michigan,4978500,505700,2191600,1510900,57000,526500,9770000
Minnesota,3150400,304300,983800,773400,38300,238700,5489000
Mississippi,1249500,149100,674000,407000,47000,352800,2879400
Missouri,3101200,345700,888000,954300,88700,556600,5934500
Montana,455000,74900,218900,180500,20800,83900,1034000
Nebraska,1031800,135500,248700,261300,33600,158100,1868900
Nevada,1441400,162400,574700,408100,58200,338700,2983400
New Hampshire,753000,65300,184900,224400,14400,68200,1310300
New Jersey,4936900,484100,1456800,1164400,38500,647600,8728300
New Mexico,748100,87500,673300,306300,39100,190900,2045300
New York,9388700,1127200,5003500,2406500,84100,1006900,19016900
North Carolina,4712500,652300,1827800,1491400,270300,1090100,10044400
North Dakota,415700,60800,84300,97000,16500,56300,730600
Ohio,5890600,519700,2353900,1753700,102500,735400,11355900
Oklahoma,1756000,223000,673300,560700,81800,521400,3816100
Oregon,1955300,268600,907000,641900,42200,295900,4110800
Pennsylvania,6478900,670700,2498700,1970200,77300,692400,12388100
Rhode Island,527600,54700,237900,144400,8600,40900,1014000
South Carolina,2231700,299800,960700,807000,113500,517100,4929800
South Dakota,439200,70100,113200,126300,20600,79400,848700
Tennessee,3070000,379700,1359800,974900,131700,670300,6586400
Texas,13234000,1683300,4724500,2935000,489700,4957500,28024000
Utah,1879400,282600,313600,310300,40700,279300,3105900
Vermont,295100,38000,139400,98800,4900,24500,600600
Virginia,4440600,511600,970900,1185600,362800,710500,8182100
Washington,3802400,406600,1538400,991600,147300,481700,7368000
West Virginia,773100,55400,463500,329500,22600,108200,1752300
Wisconsin,3202300,302300,940500,861000,43200,313600,5662800
Wyoming,309900,38900,57100,84100,11100,59200,560300
Puerto Rico,743000,254100,1517200,428300,18800,203100,3164400
